"Enabled","Activé"
"Title","Titre"
"Subtitle","Sous-titre"
"URL MyPudo","URL Webservice DPD Relais"
"ID trader","ID Marchand"
"Security Key","Clé de sécurité"
"Your DPD Depot #","Votre n° d'agence DPD"
"Your DPD Relais contract #","Votre n° de contrat DPD Relais"
"Shipping rates configuration","Gestion des frais de port"
"Display when unavailable","Afficher quand non disponible"
"Yes","Oui"
"No","Non"
"Displayed Error Message","Afficher le message d'erreur"
"Sort Order","Ordre de tri"

"Find DPD Pickup points near this address : ","Recherchez les relais Pickup autour de l'adresse suivante : "
"Your Pickup delivery by DPD","Livraison en relais Pickup par DPD"
"More details","Plus de détails"
"You have to choose an address for your shipping!","Vous devez choisir une adresse de livraison!"
"Your shopping cart is too heavy for being shipped in a Pickup point","Le poids de votre panier n'est pas compatible avec une livraison en relais Pickup"
"An error ocurred while fetching the DPD Pickup points. Please try again","DPD Relais est temporairement indisponible, merci de réessayer dans quelques instants."
"There are no DPD Pickup points for the selected adress. Please modify it.","Il n'y a pas de relais Pickup autour de l'adresse saisie. Merci de modifier votre adresse."
"The field Postal Code is mandatory!","Le champ Code Postal est obligatoire!"
"The field City is mandatory!","Le champ Ville est obligatoire!"

"Your DPD Pickup point","Votre relais Pickup"
"Method Name","Méthode de livraison"
"Distance in KM","Distance en km"
"DPD Pickup ID#","Identifiant relais"
"Opening hours","Horaires d'ouverture"
"More info","Informations"
"Closing period","Relais fermé le"
"info","Repère"
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"
"Closed","Fermé"
"Attention, this DPD Pickup point will be unavailable from","Attention, ce relais Pickup ne sera pas disponible du"
"Jan","Janv"
"Feb","Fév"
"Mar","Mars"
"Apr","Avr"
"May","Mai"
"Jun","Juin"
"Jul","Juillet"
"Aug","Août"
"Sep","Sept"
"Oct","Oct"
"Nov","Nov"
"Dec","Déc"